folder_path,model_a,model_b,human_winner,gpt-5.1-2025-11-13,claude-sonnet-4-5-20250929,gemini-3-pro-preview
20251129_140405/003_easy_a_giraffe_blowing_a_bubble,gpt-5.1-2025-11-13,gemini-3-pro-preview,a,b,b,a
20251129_140405/004_easy_a_robot_walking_a_dog,gpt-5-mini-2025-08-07,claude-sonnet-4-5-20250929,a,a,b,b
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gemini-2.5-flash-lite,claude-haiku-4-5-20251001,b,b,b,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,claude-haiku-4-5-20251001,gemini-2.5-flash,a,b,b,b
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,gpt-5-codex,gpt-5.1-2025-11-13,a,b,b,b
20251129_140405/002_easy_a_donut_with_a_smiling_face,gemini-2.5-flash-lite,claude-opus-4-1-20250805,b,b,b,b
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,gpt-5-nano-2025-08-07,gemini-3-pro-preview,b,b,b,b
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,gpt-5-nano-2025-08-07,gemini-2.5-flash-lite,a,a,a,a
20251129_140405/006_easy_a_rabbit_holding_a_balloon,gpt-5-mini-2025-08-07,gpt-5.1-2025-11-13,a,b,b,b
20251129_140405/003_easy_a_giraffe_blowing_a_bubble,gemini-3-pro-preview,claude-opus-4-1-20250805,a,b,a,a
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,claude-sonnet-4-5-20250929,claude-opus-4-1-20250805,a,a,a,a
20251129_140405/010_easy_a_panda_with_sunglasses,gpt-5.1-2025-11-13,gpt-5-mini-2025-08-07,a,b,b,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,a,a,b,b
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gpt-5.1-2025-11-13,gemini-2.5-flash-lite,a,a,a,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,claude-sonnet-4-5-20250929,gpt-5.1-2025-11-13,b,b,b,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gpt-5-mini-2025-08-07,claude-opus-4-1-20250805,b,b,b,a
20251129_140405/010_easy_a_panda_with_sunglasses,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,a,a,a,a
20251129_140405/010_easy_a_panda_with_sunglasses,gpt-5-codex,gpt-5-mini-2025-08-07,b,b,b,b
20251129_140405/008_easy_a_cupcake_wearing_a_crown,claude-haiku-4-5-20251001,gpt-5-mini-2025-08-07,b,a,b,b
