prompt,difficulty
a turtle wearing roller skates,easy
a donut with a smiling face,easy
a giraffe blowing a bubble,easy
a robot walking a dog,easy
a dinosaur flying a kite,easy
a rabbit holding a balloon,easy
a fox playing a guitar,easy
a cupcake wearing a crown,easy
a smiling cloud raining hearts,easy
a panda with sunglasses,easy
"Generate an SVG of a praying mantis on a dew-covered leaf. Show a triangular head with two large compound eyes and a flexible neck. The raptorial forelegs must be folded, displaying spines. Include six clearly segmented legs (coxa, femur, tibia, tarsus). Add semi-transparent veined wings, a slender segmented abdomen, and antennae. Position it in three-quarter view with soft bokeh background gradients.",medium
"Create an SVG side view of a steam locomotive (4-6-2 Pacific). Show four leading wheels on a bogie, six large driving wheels connected by side rods, and two trailing wheels. Include pistons, valve gear, smokebox door, headlamp, and a tall funnel. Draw rails with sleepers at even spacing. Add steam clouds and correct coupling rods alignment and motion geometry.",medium
"Produce an SVG of an Apollo-era astronaut on the Moon. Include an A7L suit with a gold visor, life-support backpack (PLSS), and ridged joint rings at shoulders and elbows. Show boots leaving crisp footprints in regolith. Place the American flag with a horizontal support rod. Low Sun angle casts long shadows. Curved horizon, gray terrain, and Earth in the black sky.",medium
"Draw an SVG of a great white shark in profile. Show countershading: dark gray dorsal surface, white underside. Include five distinct gill slits, a crescent-shaped caudal fin with larger upper lobe, triangular serrated teeth visible, and a lateral line. Pectoral fins angled slightly downward. Add remora fish beneath. Background suggests a shipwreck silhouette and light rays from above.",medium
"Generate an SVG of a worker honeybee gathering pollen from a sunflower head. Show three body segments (head, thorax, abdomen) with fuzzy thorax hairs. Include two pairs of transparent veined wings, six legs with visible tarsi, and pollen baskets (corbiculae) laden on hind legs. The proboscis should contact florets. Sunflower disc displays spiral phyllotaxis; leaves serrated; stems slightly rough.",medium
"Create an SVG of a medieval trebuchet in side view. Show a sturdy triangular frame, axle at the apex, and an asymmetrical throwing arm with a longer projectile side. Include a hinged sling holding a stone, a heavy box counterweight, and taut ropes. The release pin angles the sling for ~45° launch. Ground planks, pegs, and shadows must align consistently.",medium
